TT	ID	AT	CT	IO_D	WT	RT	TRT
0010	0001	0001	0010	0000	0001	0000	0009
0011	1000	0003	0007	0000	0007	0000	0008
0011	1001	0004	0006	0000	0006	0000	0007
0012	0003	0001	0012	0000	0001	0000	0011
0020	0002	0001	0020	0000	0001	0000	0019
0021	1004	0016	0004	0000	0004	0000	0005
0021	0028	0017	0005	0000	0001	0000	0004
0022	0025	0013	0010	0000	0001	0000	0009
0023	1005	0016	0006	0000	0006	0000	0007
0023	1006	0019	0003	0000	0003	0000	0004
0023	0013	0007	0017	0000	0001	0000	0016
0026	0024	0012	0015	0000	0000	0000	0014
0027	0038	0021	0007	0000	0001	0000	0006
0027	0030	0018	0004	0000	0007	0006	0009
0028	0043	0023	0006	0000	0000	0000	0005
0029	0036	0020	0008	0000	0003	0002	0009
0031	0023	0012	0020	0000	0000	0000	0019
0032	0032	0019	0005	0000	0010	0009	0013
0034	0033	0020	0007	0000	0009	0000	0014
0034	0035	0020	0003	0000	0000	0012	0014
0036	0044	0024	0008	0000	0000	0005	0012
0037	0039	0021	0010	0000	0008	0007	0016
0037	0026	0014	0015	0000	0010	0009	0023
0038	1007	0025	0012	0000	0012	0000	0013
0038	0052	0027	0007	0000	0006	0005	0011
0041	1002	0010	0031	0000	0001	0001	0031
0041	0012	0007	0035	0000	0001	0000	0034
0041	0037	0020	0009	0000	0014	0013	0021
0042	1008	0029	0012	0000	0012	0000	0013
0042	1009	0039	0002	0000	0002	0000	0003
0045	0045	0025	0009	0000	0000	0012	0020
0045	0071	0040	0006	0000	0001	0000	0005
0047	0061	0032	0009	0000	0008	0007	0015
0048	0031	0018	0022	0000	0000	0009	0030
0049	0047	0026	0008	0000	0017	0016	0023
0049	0040	0022	0015	0000	0000	0013	0027
0050	0050	0026	0005	0000	0000	0020	0024
0051	0042	0022	0014	0000	0017	0016	0029
0051	0048	0026	0010	0000	0017	0016	0025
0052	1011	0042	0009	0000	0009	0000	0010
0052	1013	0048	0003	0000	0003	0000	0004
0052	0016	0008	0045	0000	0001	0000	0044
0054	0049	0026	0011	0000	0019	0000	0028
0055	0084	0047	0008	0000	0002	0001	0008
0055	0055	0029	0006	0000	0000	0021	0026
